country,country_code,version,effective_from,prefecture_code,prefecture_name_fr,prefecture_name_en,smic_multiple,gross_monthly_jpy,health_employer_monthly_jpy,health_employee_monthly_jpy,child_support_money_employer_monthly_jpy,child_support_money_employee_monthly_jpy,pension_employer_monthly_jpy,pension_employee_monthly_jpy,child_childcare_contribution_monthly_jpy,employment_insurance_employer_monthly_jpy,employment_insurance_employee_monthly_jpy,workers_accident_insurance_monthly_jpy,iit_annual_jpy,resident_tax_annual_jpy,employee_contributions_monthly_jpy,employer_contributions_monthly_jpy,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_jpy,income_tax_monthly_jpy,net_after_income_tax_monthly_jpy,employer_cost_monthly_jpy,social_wedge_monthly_jpy,total_wedge_after_income_tax_monthly_jpy,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_jpy,delta_net_before_income_tax_monthly_jpy,delta_net_after_income_tax_monthly_jpy,delta_employer_cost_monthly_jpy,delta_social_wedge_monthly_jpy,delta_total_wedge_after_income_tax_monthly_jpy,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,0.8,170005.33336,8440.5,8440.5,195.5,195.5,15555.0,15555.0,612.0,1445.045334,850.026667,510.016,0.0,61957.168032,25041.026667,26758.061334,0.14729553580400684,0.15739542286580882,144964.306693,5163.097336,139801.209357,196763.394694,51799.088,56962.185336,1.3573230485630279,1.4074513060246827,,,,,,,,,,,
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,0.81,172130.400027,8440.5,8440.5,195.5,195.5,15555.0,15555.0,612.0,1463.1084,860.652,516.3912,0.0,64494.497632,25051.652,26782.4996,0.14553880079408082,0.1555942448057371,147078.748027,5374.541469,141704.206558,198912.899627,51834.1516,57208.69307,1.352424482094297,1.4037190882303132,2125.0666670000064,2114.441334000003,1902.997200999991,2149.5049330000184,35.06359999999404,246.5077339999989,0.9950000001576405,0.8955000003301004,1.011499999684486,0.01649999999740899,0.11600000029551927
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,0.82,174255.466694,8440.5,8440.5,195.5,195.5,15555.0,15555.0,612.0,1481.171467,871.277333,522.7664,526.747802,67031.827233,25062.277333,26806.937867,0.14382491297951888,0.1538369979178623,149193.189361,5629.881253,143563.308108,201062.404561,51869.2152,57499.096453,1.3476647655484288,1.4005138723207393,2125.0666670000064,2114.441334000003,1859.1015499999921,2149.504933999997,35.063600000001315,290.4033829999971,0.9950000001576405,0.8748438714275812,1.0115000001550494,0.016499999997412414,0.13665612825689116
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,0.83,176380.533361,8937.0,8937.0,207.0,207.0,16470.0,16470.0,648.0,1499.234534,881.902667,529.1416,950.324763,67861.556833,26495.902667,28290.376134,0.1502201074116016,0.16039398223016638,149884.630694,5734.323466,144150.307228,204670.909495,54786.2788,60520.602267,1.3655229928960178,1.4198437272225772,2125.0666670000064,691.4413329999952,586.9991199999931,3608.504933999997,2917.0636000000013,3021.5058140000037,0.32537394884468024,0.276226214036226,1.6980666959941477,1.3726927466788938,1.4218404819579218
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,0.84,178505.600028,8937.0,8937.0,207.0,207.0,16470.0,16470.0,648.0,1517.2976,892.528,535.5168,2245.631524,70398.886433,26506.528,28314.8144,0.14849129660908253,0.15862143482266441,151999.072028,6053.70983,145945.362198,206820.414428,54821.3424,60875.05223,1.360668928231442,1.4171085076870151,2125.0666669999773,2114.441334000003,1795.0549699999974,2149.5049329999893,35.063600000001315,354.4499629999991,0.9950000001576541,0.8447052498988807,1.0114999996844862,0.01649999999741264,0.1667947497856089
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,0.85,180630.666695,8937.0,8937.0,207.0,207.0,16470.0,16470.0,648.0,1535.360667,903.153333,541.892,3540.938285,72936.216034,26517.153333,28339.252667,0.14680316370779922,0.156890594412986,154113.513362,6373.096193,147740.417168,208969.919362,54856.406,61229.502194,1.3559480593488475,1.4144397543157705,2125.0666670000064,2114.441334000003,1795.0549700000265,2149.504933999997,35.063600000001315,354.44996399999945,0.9950000001576405,0.8447052498988828,1.0115000001550494,0.016499999997412414,0.16679475025618026
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,0.86,182755.733362,8937.0,8937.0,207.0,207.0,16470.0,16470.0,648.0,1553.423734,913.778667,548.2672,4836.245046,75473.545634,26527.778667,28363.690934,0.1451542897111969,0.15520000610585824,156227.954695,6692.482557,149535.472138,211119.424296,54891.4696,61583.952157,1.3513549780995948,1.41183507348778,2125.0666670000064,2114.441332999995,1795.0549699999974,2149.504934000026,35.06359999999404,354.4499629999991,0.9949999996870634,0.8447052498988692,1.0115000001550631,0.01649999999740899,0.16679474978560663
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,0.87,184880.800029,8937.0,8937.0,207.0,207.0,16470.0,16470.0,648.0,1571.4868,924.404,554.6424,5755.33371,77273.9152,26538.404,28388.1292,0.14354332086394175,0.15354828189774491,158342.396029,6919.104076,151423.291953,213268.929229,54926.5332,61845.637276,1.3468845652081023,1.4084288254373796,2125.0666670000064,2114.441334000003,1887.8198149999953,2149.5049329999893,35.063600000001315,261.6851190000016,0.9950000001576405,0.8883579251022102,1.0114999996844725,0.016499999997412414,0.12314207505283917
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,0.88,187005.866696,9433.5,9433.5,218.5,218.5,17385.0,17385.0,684.0,1589.549867,935.029333,561.0176,5877.67483,77513.5648,27972.029333,29871.567467,0.14957835188642407,0.15973599114707848,159033.837363,6949.269969,152084.567393,216877.434163,57843.5968,64792.86677,1.3637188019844397,1.4260318313697506,2125.0666670000064,691.4413340000028,661.2754399999976,3608.504933999997,2917.0636000000013,2947.2294939999992,0.32537394931525726,0.31117867983573977,1.6980666959941477,1.3726927466788938,1.386888016158408
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,0.89,189130.933363,9433.5,9433.5,218.5,218.5,17385.0,17385.0,684.0,1607.612934,945.654667,567.3928,6728.805751,79180.8144,27982.654667,29896.005734,0.14795387602253166,0.15807041821284165,161148.278696,7159.135013,153989.143684,219026.939097,57878.6604,65037.795413,1.3591640001914567,1.4223531208582894,2125.0666669999773,2114.441332999995,1904.5762910000049,2149.504933999997,35.063600000001315,244.92864299999928,0.994999999687077,0.8962430781942264,1.0115000001550634,0.01649999999741264,0.11525692196084025
