country,country_code,version,effective_from,province_code,province_name_fr,province_name_en,smic_multiple,gross_monthly_rmb,pension_employer_monthly_rmb,pension_employee_monthly_rmb,medical_employer_monthly_rmb,medical_employee_monthly_rmb,unemployment_employer_monthly_rmb,unemployment_employee_monthly_rmb,work_injury_employer_monthly_rmb,hpf_employer_monthly_rmb,hpf_employee_monthly_rmb,employee_contributions_monthly_rmb,employer_contributions_monthly_rmb,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_rmb,income_tax_monthly_rmb,net_after_income_tax_monthly_rmb,employer_cost_monthly_rmb,social_wedge_monthly_rmb,total_wedge_after_income_tax_monthly_rmb,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_rmb,delta_net_before_income_tax_monthly_rmb,delta_net_after_income_tax_monthly_rmb,delta_employer_cost_monthly_rmb,delta_social_wedge_monthly_rmb,delta_total_wedge_after_income_tax_monthly_rmb,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.91,2493.4,689.76,344.88,275.904,86.22,21.555,21.555,8.622,174.538,174.538,627.193,1170.379,0.25154126895002804,0.4693907916900617,1866.207,0.0,1866.207,3663.779,1797.572,1797.572,1.9632221934651406,1.9632221934651406,27.40000000000009,25.4820000000002,25.4820000000002,29.31800000000021,3.8359999999997854,3.8359999999997854,0.9300000000000042,0.9300000000000042,1.070000000000004,0.13999999999999171,0.13999999999999171
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.92,2520.8,689.76,344.88,275.904,86.22,21.555,21.555,8.622,176.456,176.456,629.111,1172.297,0.2495679942875278,0.4650495874325611,1891.689,0.0,1891.689,3693.097,1801.408,1801.408,1.9522749246837086,1.9522749246837086,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.93,2548.2,689.76,344.88,275.904,86.22,21.555,21.555,8.622,178.374,178.374,631.029,1174.215,0.24763715563927474,0.4608017424064044,1917.171,0.0,1917.171,3722.415,1805.244,1805.244,1.9416186662535577,1.9416186662535577,27.399999999999636,25.48199999999997,25.48199999999997,29.317999999999756,3.8360000000000127,3.8360000000000127,0.9300000000000113,0.9300000000000113,1.0700000000000054,0.14000000000000232,0.14000000000000232
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.94,2575.6,689.76,344.88,275.904,86.22,21.555,21.555,8.622,180.292,180.292,632.947,1176.133,0.24574739866438888,0.4566442770616555,1942.653,0.0,1942.653,3751.733,1809.08,1809.08,1.9312419665272182,1.9312419665272182,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.95,2603.0,689.76,344.88,275.904,86.22,21.555,21.555,8.622,182.21,182.21,634.865,1178.051,0.243897426046869,0.45257433730311175,1968.135,0.0,1968.135,3781.051,1812.916,1812.916,1.9211339669280816,1.9211339669280816,27.40000000000009,25.48199999999997,25.48199999999997,29.317999999999756,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.0699999999999876,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.96,2630.4,689.76,344.88,275.904,86.22,21.555,21.555,8.622,184.128,184.128,636.783,1179.969,0.24208599452554744,0.4485891879562043,1993.617,0.0,1993.617,3810.369,1816.752,1816.752,1.9112843640478585,1.9112843640478585,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.97,2657.8,689.76,344.88,275.904,86.22,21.555,21.555,8.622,186.046,186.046,638.701,1181.887,0.24031191210775832,0.44468620663706826,2019.099,0.0,2019.099,3839.687,1820.588,1820.588,1.9016833746141226,1.9016833746141226,27.40000000000009,25.48199999999997,25.48199999999997,29.317999999999756,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.0699999999999876,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.98,2685.2,689.76,344.88,275.904,86.22,21.555,21.555,8.622,187.964,187.964,640.619,1183.805,0.2385740354535975,0.44086287799791446,2044.581,0.0,2044.581,3869.005,1824.424,1824.424,1.89232170307755,1.89232170307755,27.399999999999636,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9300000000000113,0.9300000000000113,1.0700000000000218,0.14000000000000232,0.14000000000000232
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,0.99,2712.6,689.76,344.88,275.904,86.22,21.555,21.555,8.622,189.882,189.882,642.537,1185.723,0.2368712674187127,0.4371167883211679,2070.063,0.0,2070.063,3898.323,1828.26,1828.26,1.8831905115931253,1.8831905115931253,27.40000000000009,25.4820000000002,25.4820000000002,29.317999999999756,3.8360000000000127,3.8360000000000127,0.9300000000000042,0.9300000000000042,1.0699999999999876,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.0,2740.0,689.76,344.88,275.904,86.22,21.555,21.555,8.622,191.8,191.8,644.455,1187.641,0.23520255474452556,0.43344562043795615,2095.545,0.0,2095.545,3927.641,1832.096,1832.096,1.8742813921915298,1.8742813921915298,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
