country,country_code,module_version,currency,canton_code,canton_name_fr,canton_name_en,reference_municipality,gross_monthly_chf,gross_annual_chf,employee_ahv_iv_eo_monthly_chf,employee_unemployment_monthly_chf,employee_lpp_monthly_chf,employee_accident_monthly_chf,employee_total_contrib_monthly_chf,employer_ahv_iv_eo_monthly_chf,employer_unemployment_monthly_chf,employer_lpp_monthly_chf,employer_accident_monthly_chf,employer_total_contrib_monthly_chf,net_before_tax_monthly_chf,withholding_tax_monthly_chf,withholding_tax_rate_percent,net_after_tax_monthly_chf,ordinary_federal_tax_monthly_chf,ordinary_cantonal_tax_monthly_chf,ordinary_communal_tax_monthly_chf,ordinary_tax_monthly_chf,net_after_ordinary_tax_monthly_chf,employer_cost_monthly_chf,social_wedge_monthly_chf,total_wedge_after_tax_monthly_chf,total_wedge_after_ordinary_tax_monthly_chf,employee_contribution_rate,employer_contribution_rate,social_wedge_rate_employer_cost,cost_to_net_before_tax_ratio,cost_to_net_after_tax_ratio,cost_to_net_after_ordinary_tax_ratio,withholding_tax_status,ordinary_tax_status,profile_id
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,5600.0,67200.0,296.8,61.6,169.75,67.2,595.35,296.8,61.6,169.75,28.0,556.15,5004.65,500.08,8.93,4504.57,73.77,304.32,304.32,682.41,4322.24,6156.15,1151.5,1651.58,1833.91,0.1063125,0.0993125,0.18704872,1.23008602,1.36664543,1.4242962,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,5700.0,68400.0,302.1,62.7,174.75,68.4,607.95,302.1,62.7,174.75,28.5,568.05,5092.05,516.42,9.06,4575.63,76.74,311.57,311.57,699.88,4392.17,6268.05,1176.0,1692.42,1875.88,0.10665789,0.09965789,0.18761816,1.23094824,1.36987693,1.4270964,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,5800.0,69600.0,307.4,63.8,179.75,69.6,620.55,307.4,63.8,179.75,29.0,579.95,5179.45,532.44,9.18,4647.01,79.71,318.82,318.82,717.35,4462.1,6379.95,1200.5,1732.94,1917.85,0.10699138,0.09999138,0.18816762,1.23178137,1.37291506,1.42980883,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,5900.0,70800.0,312.7,64.9,184.75,70.8,633.15,312.7,64.9,184.75,29.5,591.85,5266.85,547.52,9.28,4719.33,82.68,326.07,326.07,734.82,4532.03,6491.85,1225.0,1772.52,1959.82,0.10731356,0.10031356,0.18869814,1.23258684,1.37558721,1.43243756,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,6000.0,72000.0,318.0,66.0,189.75,72.0,645.75,318.0,66.0,189.75,30.0,603.75,5354.25,563.4,9.39,4790.85,85.65,333.32,333.32,752.29,4601.96,6603.75,1249.5,1812.9,2001.79,0.107625,0.100625,0.18921068,1.23336602,1.37840884,1.4349864,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,6100.0,73200.0,323.3,67.1,194.75,73.2,658.35,323.3,67.1,194.75,30.5,615.65,5441.65,578.28,9.48,4863.37,88.62,340.57,340.57,769.76,4671.89,6715.65,1274.0,1852.28,2043.76,0.10792623,0.10092623,0.18970613,1.23412017,1.38086348,1.43745893,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,6200.0,74400.0,328.6,68.2,199.75,74.4,670.95,328.6,68.2,199.75,31.0,627.55,5529.05,594.58,9.59,4934.47,91.59,347.82,347.82,787.23,4741.82,6827.55,1298.5,1893.08,2085.73,0.10821774,0.10121774,0.19018535,1.23485047,1.38364404,1.43985854,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,6300.0,75600.0,333.9,69.3,204.75,75.6,683.55,333.9,69.3,204.75,31.5,639.45,5616.45,610.47,9.69,5005.98,94.56,355.07,355.07,804.7,4811.75,6939.45,1323.0,1933.47,2127.7,0.1085,0.1015,0.19064911,1.23555805,1.38623207,1.44218839,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,6400.0,76800.0,339.2,70.4,209.75,76.8,696.15,339.2,70.4,209.75,32.0,651.35,5703.85,624.64,9.76,5079.21,99.02,362.32,362.32,823.66,4880.19,7051.35,1347.5,1972.14,2171.16,0.10877344,0.10177344,0.19109816,1.23624394,1.38827692,1.44489251,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,6500.0,78000.0,344.5,71.5,214.75,78.0,708.75,344.5,71.5,214.75,32.5,663.25,5791.25,641.55,9.87,5149.7,104.96,369.57,369.57,844.1,4947.15,7163.25,1372.0,2013.55,2216.1,0.10903846,0.10203846,0.19153317,1.23690913,1.39100336,1.44795488,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,6600.0,79200.0,349.8,72.6,219.75,79.2,721.35,349.8,72.6,219.75,33.0,675.15,5878.65,656.7,9.95,5221.95,110.9,376.82,376.82,864.53,5014.12,7275.15,1396.5,2053.2,2261.03,0.10929545,0.10229545,0.19195481,1.23755454,1.39318645,1.45093257,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,6700.0,80400.0,355.1,73.7,224.75,80.4,733.95,355.1,73.7,224.75,33.5,687.05,5966.05,672.68,10.04,5293.37,116.84,384.07,384.07,884.98,5081.07,7387.05,1421.0,2093.68,2305.98,0.10954478,0.10254478,0.19236366,1.23818104,1.39552875,1.45383748,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,6800.0,81600.0,360.4,74.8,229.75,81.6,746.55,360.4,74.8,229.75,34.0,698.95,6053.45,688.84,10.13,5364.61,122.78,391.32,391.32,905.41,5148.04,7498.95,1445.5,2134.34,2350.91,0.10978676,0.10278676,0.19276032,1.23878945,1.39785558,1.45666118,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,6900.0,82800.0,365.7,75.9,234.75,82.8,759.15,365.7,75.9,234.75,34.5,710.85,6140.85,703.8,10.2,5437.05,129.1,398.57,398.57,926.24,5214.61,7610.85,1470.0,2173.8,2396.24,0.11002174,0.10302174,0.19314531,1.23938054,1.3998124,1.4595243,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,7000.0,84000.0,371.0,77.0,239.75,84.0,771.75,371.0,77.0,239.75,35.0,722.75,6228.25,719.6,10.28,5508.65,135.7,405.82,405.82,947.34,5280.91,7722.75,1494.5,2214.1,2441.84,0.11025,0.10325,0.19351915,1.23995504,1.40193151,1.46239,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,7100.0,85200.0,376.3,78.1,244.75,85.2,784.35,376.3,78.1,244.75,35.5,734.65,6315.65,736.27,10.37,5579.38,142.3,413.07,413.07,968.44,5347.21,7834.65,1519.0,2255.27,2487.44,0.11047183,0.10347183,0.1938823,1.24051364,1.40421516,1.46518465,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,7200.0,86400.0,381.6,79.2,249.75,86.4,796.95,381.6,79.2,249.75,36.0,746.55,6403.05,751.68,10.44,5651.37,148.9,420.32,420.32,989.54,5413.51,7946.55,1543.5,2295.18,2533.04,0.1106875,0.1036875,0.19423523,1.241057,1.40612807,1.46791084,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,7300.0,87600.0,386.9,80.3,254.75,87.6,809.55,386.9,80.3,254.75,36.5,758.45,6490.45,767.96,10.52,5722.49,155.5,427.57,427.57,1010.64,5479.81,8058.45,1568.0,2335.96,2578.64,0.11089726,0.10389726,0.19457836,1.24158571,1.40820692,1.47057106,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,7400.0,88800.0,392.2,81.4,259.75,88.8,822.15,392.2,81.4,259.75,37.0,770.35,6577.85,783.66,10.59,5794.19,162.1,434.82,434.82,1031.74,5546.11,8170.35,1592.5,2376.16,2624.24,0.11110135,0.10410135,0.19491209,1.24210038,1.41009356,1.47316768,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,7500.0,90000.0,397.5,82.5,264.75,90.0,834.75,397.5,82.5,264.75,37.5,782.25,6665.25,801.0,10.68,5864.25,168.7,442.07,442.07,1052.84,5612.41,8282.25,1617.0,2418.0,2669.84,0.1113,0.1043,0.1952368,1.24260155,1.41232894,1.47570295,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,7600.0,91200.0,402.8,83.6,267.75,91.2,845.35,402.8,83.6,267.75,38.0,792.15,6754.65,817.0,10.75,5937.65,175.3,449.32,449.32,1073.94,5680.71,8392.15,1637.5,2454.5,2711.44,0.11123026,0.10423026,0.19512282,1.24242559,1.41337903,1.47730653,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,7700.0,92400.0,408.1,84.7,267.75,92.4,852.95,408.1,84.7,267.75,38.5,799.05,6847.05,832.37,10.81,6014.68,181.9,456.57,456.57,1095.04,5752.01,8499.05,1652.0,2484.37,2747.04,0.11077273,0.10377273,0.19437467,1.24127179,1.41305107,1.47757914,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,7800.0,93600.0,413.4,85.8,267.75,93.6,860.55,413.4,85.8,267.75,39.0,805.95,6939.45,849.42,10.89,6090.03,188.5,463.82,463.82,1116.14,5823.31,8605.95,1666.5,2515.92,2782.64,0.11032692,0.10332692,0.19364509,1.24014871,1.41312112,1.47784507,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,7900.0,94800.0,418.7,86.9,267.75,94.8,868.15,418.7,86.9,267.75,39.5,812.85,7031.85,865.84,10.96,6166.01,195.1,471.07,471.07,1137.24,5894.61,8712.85,1681.0,2546.84,2818.24,0.10989241,0.10289241,0.19293343,1.23905516,1.41304506,1.47810457,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,8000.0,96000.0,424.0,88.0,267.75,96.0,875.75,424.0,88.0,267.75,40.0,819.75,7124.25,881.6,11.02,6242.65,201.7,478.32,478.32,1158.34,5965.91,8819.75,1695.5,2577.1,2853.84,0.10946875,0.10246875,0.19223901,1.23798996,1.41282148,1.47835787,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,8100.0,97200.0,429.3,89.1,267.75,97.2,883.35,429.3,89.1,267.75,40.5,826.65,7216.65,899.1,11.1,6317.55,208.3,485.57,485.57,1179.44,6037.21,8926.65,1710.0,2609.1,2889.44,0.10905556,0.10205556,0.19156122,1.23695205,1.41299238,1.47860518,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,8200.0,98400.0,434.6,90.2,267.75,98.4,890.95,434.6,90.2,267.75,41.0,833.55,7309.05,915.12,11.16,6393.93,214.9,492.82,492.82,1200.54,6108.51,9033.55,1724.5,2639.62,2925.04,0.10865244,0.10165244,0.19089948,1.23594038,1.41283217,1.47884672,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,8300.0,99600.0,439.9,91.3,267.75,99.6,898.55,439.9,91.3,267.75,41.5,840.45,7401.45,932.92,11.24,6468.53,221.5,500.07,500.07,1221.64,6179.81,9140.45,1739.0,2671.92,2960.64,0.10825904,0.10125904,0.19025322,1.23495396,1.41306448,1.47908269,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,8400.0,100800.0,445.2,92.4,267.75,100.8,906.15,445.2,92.4,267.75,42.0,847.35,7493.85,950.88,11.32,6542.97,228.1,507.32,507.32,1242.74,6251.11,9247.35,1753.5,2704.38,2996.24,0.107875,0.100875,0.18962189,1.23399187,1.41332606,1.47931327,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,8500.0,102000.0,450.5,93.5,267.75,102.0,913.75,450.5,93.5,267.75,42.5,854.25,7586.25,969.85,11.41,6616.4,234.7,514.57,514.57,1263.84,6322.41,9354.25,1768.0,2737.85,3031.84,0.1075,0.1005,0.189005,1.23305322,1.41379753,1.47953866,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,8600.0,103200.0,455.8,94.6,267.75,103.2,921.35,455.8,94.6,267.75,43.0,861.15,7678.65,989.0,11.5,6689.65,241.3,521.82,521.82,1284.94,6393.71,9461.15,1782.5,2771.5,3067.44,0.10713372,0.10013372,0.18840204,1.23213716,1.41429671,1.47975901,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,8700.0,104400.0,461.1,95.7,267.75,104.4,928.95,461.1,95.7,267.75,43.5,868.05,7771.05,1008.33,11.59,6762.72,247.9,529.07,529.07,1306.04,6465.01,9568.05,1797.0,2805.33,3103.04,0.10677586,0.09977586,0.18781256,1.23124288,1.41482273,1.47997451,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,8800.0,105600.0,466.4,96.8,267.75,105.6,936.55,466.4,96.8,267.75,44.0,874.95,7863.45,1026.96,11.67,6836.49,254.5,536.32,536.32,1327.14,6536.31,9674.95,1811.5,2838.46,3138.64,0.10642614,0.09942614,0.18723611,1.23036962,1.41519259,1.4801853,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,8900.0,106800.0,471.7,97.9,267.75,106.8,944.15,471.7,97.9,267.75,44.5,881.85,7955.85,1045.75,11.75,6910.1,261.1,543.57,543.57,1348.24,6607.61,9781.85,1826.0,2871.75,3174.24,0.10608427,0.09908427,0.18667226,1.22951664,1.41558733,1.48039155,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,9000.0,108000.0,477.0,99.0,267.75,108.0,951.75,477.0,99.0,267.75,45.0,888.75,8048.25,1062.9,11.81,6985.35,267.7,550.82,550.82,1369.34,6678.91,9888.75,1840.5,2903.4,3209.84,0.10575,0.09875,0.18612059,1.22868325,1.41564131,1.48059339,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,9100.0,109200.0,482.3,100.1,267.75,109.2,959.35,482.3,100.1,267.75,45.5,895.65,8140.65,1082.9,11.9,7057.75,274.85,558.07,558.07,1390.99,6749.66,9995.65,1855.0,2937.9,3245.99,0.10542308,0.09842308,0.18558073,1.22786878,1.41626581,1.48091163,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,9200.0,110400.0,487.6,101.2,267.75,110.4,966.95,487.6,101.2,267.75,46.0,902.55,8233.05,1102.16,11.98,7130.89,283.65,565.41,565.41,1414.47,6818.58,10102.55,1869.5,2971.66,3283.97,0.10510326,0.09810326,0.18505229,1.22707259,1.41673059,1.48162081,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,9300.0,111600.0,492.9,102.3,267.75,111.6,974.55,492.9,102.3,267.75,46.5,909.45,8325.45,1120.65,12.05,7204.8,292.45,573.02,573.02,1438.49,6886.96,10209.45,1884.0,3004.65,3322.49,0.10479032,0.09779032,0.18453492,1.22629407,1.41703448,1.48243202,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,9400.0,112800.0,498.2,103.4,267.75,112.8,982.15,498.2,103.4,267.75,47.0,916.35,8417.85,1141.16,12.14,7276.69,301.25,580.63,580.63,1462.52,6955.33,10316.35,1898.5,3039.66,3361.02,0.10448404,0.09748404,0.18402827,1.22553265,1.41772564,1.48322941,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,9500.0,114000.0,503.5,104.5,267.75,114.0,989.75,503.5,104.5,267.75,47.5,923.25,8510.25,1159.95,12.21,7350.3,310.05,588.25,588.25,1486.54,7023.71,10423.25,1913.0,3072.95,3399.54,0.10418421,0.09718421,0.18353201,1.22478776,1.41807137,1.48400916,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,9600.0,115200.0,508.8,105.6,267.75,115.2,997.35,508.8,105.6,267.75,48.0,930.15,8602.65,1178.88,12.28,7423.77,318.85,595.86,595.86,1510.57,7092.08,10530.15,1927.5,3106.38,3438.07,0.10389062,0.09689062,0.18304583,1.22405887,1.41843699,1.48477598,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,9700.0,116400.0,514.1,106.7,267.75,116.4,1004.95,514.1,106.7,267.75,48.5,937.05,8695.05,1198.92,12.36,7496.13,327.65,603.47,603.47,1534.59,7160.46,10637.05,1942.0,3140.92,3476.59,0.10360309,0.09660309,0.18256942,1.22334547,1.41900554,1.48552607,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,9800.0,117600.0,519.4,107.8,267.75,117.6,1012.55,519.4,107.8,267.75,49.0,943.95,8787.45,1218.14,12.43,7569.31,336.45,611.08,611.08,1558.62,7228.83,10743.95,1956.5,3174.64,3515.12,0.10332143,0.09632143,0.18210249,1.22264707,1.41940943,1.48626403,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,9900.0,118800.0,524.7,108.9,267.75,118.8,1020.15,524.7,108.9,267.75,49.5,950.85,8879.85,1237.5,12.5,7642.35,345.25,618.7,618.7,1582.64,7297.21,10850.85,1971.0,3208.5,3553.64,0.10304545,0.09604545,0.18164476,1.22196321,1.4198316,1.48698612,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,10000.0,120000.0,530.0,110.0,267.75,120.0,1027.75,530.0,110.0,267.75,50.0,957.75,8972.25,1257.0,12.57,7715.25,354.05,626.31,626.31,1606.67,7365.58,10957.75,1985.5,3242.5,3592.17,0.102775,0.095775,0.18119596,1.22129343,1.42027154,1.48769683,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,10100.0,121200.0,535.3,111.1,267.75,121.2,1035.35,535.3,111.1,267.75,50.5,964.65,9064.65,1276.64,12.64,7788.01,362.85,633.92,633.92,1630.69,7433.96,11064.65,2000.0,3276.64,3630.69,0.1025099,0.0955099,0.18075583,1.22063731,1.42072879,1.48839246,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,10200.0,122400.0,540.6,112.2,267.75,122.4,1042.95,540.6,112.2,267.75,51.0,971.55,9157.05,1296.42,12.71,7860.63,371.65,641.53,641.53,1654.72,7502.33,11171.55,2014.5,3310.92,3669.22,0.10225,0.09525,0.18032413,1.21999443,1.42120288,1.48907739,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,10300.0,123600.0,545.9,113.3,267.75,123.6,1050.55,545.9,113.3,267.75,51.5,978.45,9249.45,1315.31,12.77,7934.14,380.45,649.15,649.15,1678.74,7570.71,11278.45,2029.0,3344.31,3707.74,0.10199515,0.09499515,0.17990061,1.21936439,1.42150882,1.48974799,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,10400.0,124800.0,551.2,114.4,267.75,124.8,1058.15,551.2,114.4,267.75,52.0,985.35,9341.85,1334.32,12.83,8007.53,389.25,656.76,656.76,1702.77,7639.08,11385.35,2043.5,3377.82,3746.27,0.10174519,0.09474519,0.17948504,1.21874682,1.42183045,1.49040853,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,10500.0,126000.0,556.5,115.5,267.75,126.0,1065.75,556.5,115.5,267.75,52.5,992.25,9434.25,1354.5,12.9,8079.75,398.05,664.37,664.37,1726.79,7707.46,11492.25,2058.0,3412.5,3784.79,0.1015,0.0945,0.1790772,1.21814135,1.42235218,1.49105542,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,10600.0,127200.0,561.8,116.6,267.75,127.2,1073.35,561.8,116.6,267.75,53.0,999.15,9526.65,1373.76,12.96,8152.89,406.85,671.98,671.98,1750.82,7775.83,11599.15,2072.5,3446.26,3823.32,0.10125943,0.09425943,0.17867689,1.21754762,1.4227041,1.49169285,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,10700.0,128400.0,567.1,117.7,267.75,128.4,1080.95,567.1,117.7,267.75,53.5,1006.05,9619.05,1392.07,13.01,8226.98,415.65,679.6,679.6,1774.84,7844.21,11706.05,2087.0,3479.07,3861.84,0.10102336,0.09402336,0.17828388,1.21696529,1.42288543,1.49231726,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,10800.0,129600.0,572.4,118.8,267.75,129.6,1088.55,572.4,118.8,267.75,54.0,1012.95,9711.45,1412.64,13.08,8298.81,424.45,687.21,687.21,1798.87,7912.58,11812.95,2101.5,3514.14,3900.37,0.10079167,0.09379167,0.17789798,1.21639405,1.42345107,1.49293277,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,10900.0,130800.0,577.7,119.9,267.75,130.8,1096.15,577.7,119.9,267.75,54.5,1019.85,9803.85,1431.17,13.13,8372.68,433.25,694.82,694.82,1822.89,7980.96,11919.85,2116.0,3547.17,3938.89,0.10056422,0.09356422,0.17751901,1.21583358,1.42366005,1.49353587,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,11000.0,132000.0,583.0,121.0,267.75,132.0,1103.75,583.0,121.0,267.75,55.0,1026.75,9896.25,1449.8,13.18,8446.45,442.05,702.43,702.43,1846.92,8049.33,12026.75,2130.5,3580.3,3977.42,0.10034091,0.09334091,0.17714678,1.21528357,1.42388222,1.49413057,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,11100.0,133200.0,588.3,122.1,267.75,133.2,1111.35,588.3,122.1,267.75,55.5,1033.65,9988.65,1470.75,13.25,8517.9,450.85,710.05,710.05,1870.94,8117.71,12133.65,2145.0,3615.75,4015.94,0.10012162,0.09312162,0.1767811,1.21474373,1.42448843,1.49471341,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,LU,Lucerne,Lucerne,Luzern,11200.0,134400.0,593.6,123.2,267.75,134.4,1118.95,593.6,123.2,267.75,56.0,1040.55,10081.05,1489.6,13.3,8591.45,459.65,717.66,717.66,1894.97,8186.08,12240.55,2159.5,3649.1,4054.47,0.09990625,0.09290625,0.17642181,1.2142138,1.42473622,1.49528834,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__lu__single_no_child_standard_lpp
