country,country_code,module_version,currency,canton_code,canton_name_fr,canton_name_en,reference_municipality,gross_monthly_chf,gross_annual_chf,employee_ahv_iv_eo_monthly_chf,employee_unemployment_monthly_chf,employee_lpp_monthly_chf,employee_accident_monthly_chf,employee_total_contrib_monthly_chf,employer_ahv_iv_eo_monthly_chf,employer_unemployment_monthly_chf,employer_lpp_monthly_chf,employer_accident_monthly_chf,employer_total_contrib_monthly_chf,net_before_tax_monthly_chf,withholding_tax_monthly_chf,withholding_tax_rate_percent,net_after_tax_monthly_chf,ordinary_federal_tax_monthly_chf,ordinary_cantonal_tax_monthly_chf,ordinary_communal_tax_monthly_chf,ordinary_tax_monthly_chf,net_after_ordinary_tax_monthly_chf,employer_cost_monthly_chf,social_wedge_monthly_chf,total_wedge_after_tax_monthly_chf,total_wedge_after_ordinary_tax_monthly_chf,employee_contribution_rate,employer_contribution_rate,social_wedge_rate_employer_cost,cost_to_net_before_tax_ratio,cost_to_net_after_tax_ratio,cost_to_net_after_ordinary_tax_ratio,withholding_tax_status,ordinary_tax_status,profile_id
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,4100.0,49200.0,217.3,45.1,94.75,49.2,406.35,217.3,45.1,94.75,20.5,377.65,3693.65,177.53,4.33,3516.12,31.64,155.64,194.96,382.25,3311.4,4477.65,784.0,961.53,1166.25,0.09910976,0.09210976,0.17509185,1.21225617,1.27346336,1.35219243,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,4200.0,50400.0,222.6,46.2,99.75,50.4,418.95,222.6,46.2,99.75,21.0,389.55,3781.05,186.9,4.45,3594.15,34.28,162.29,203.29,399.87,3381.18,4589.55,808.5,995.4,1208.37,0.09975,0.09275,0.17616106,1.21382949,1.27695004,1.35738115,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,4300.0,51600.0,227.9,47.3,104.75,51.6,431.55,227.9,47.3,104.75,21.5,401.45,3868.45,196.08,4.56,3672.37,36.92,168.94,211.62,417.48,3450.97,4701.45,833.0,1029.08,1250.48,0.10036047,0.09336047,0.17717938,1.21533172,1.28022231,1.36235609,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,4400.0,52800.0,233.2,48.4,109.75,52.8,444.15,233.2,48.4,109.75,22.0,413.35,3955.85,208.12,4.73,3747.73,39.56,175.59,219.95,435.11,3520.74,4813.35,857.5,1065.62,1292.61,0.10094318,0.09394318,0.17815035,1.21676757,1.28433745,1.36714157,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,4500.0,54000.0,238.5,49.5,114.75,54.0,456.75,238.5,49.5,114.75,22.5,425.25,4043.25,219.15,4.87,3824.1,42.2,182.24,228.28,452.72,3590.53,4925.25,882.0,1101.15,1334.72,0.1015,0.0945,0.1790772,1.21814135,1.28795011,1.37173342,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,4600.0,55200.0,243.8,50.6,119.75,55.2,469.35,243.8,50.6,119.75,23.0,437.15,4130.65,230.0,5.0,3900.65,44.84,188.89,236.61,470.35,3660.3,5037.15,906.5,1136.5,1376.85,0.10203261,0.09503261,0.17996288,1.21945699,1.2913617,1.37615769,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,4700.0,56400.0,249.1,51.7,124.75,56.4,481.95,249.1,51.7,124.75,23.5,449.05,4218.05,242.05,5.15,3976.0,47.48,195.54,244.94,487.97,3730.08,5149.05,931.0,1173.05,1418.97,0.10254255,0.09554255,0.18081005,1.2207181,1.2950327,1.38041275,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,4800.0,57600.0,254.4,52.8,129.75,57.6,494.55,254.4,52.8,129.75,24.0,460.95,4305.45,252.96,5.27,4052.49,50.12,202.19,253.27,505.58,3799.87,5260.95,955.5,1208.46,1461.08,0.10303125,0.09603125,0.18162119,1.22192802,1.29820185,1.38450789,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,4900.0,58800.0,259.7,53.9,134.75,58.8,507.15,259.7,53.9,134.75,24.5,472.85,4392.85,264.11,5.39,4128.74,52.98,208.84,261.6,523.43,3869.42,5372.85,980.0,1244.11,1503.43,0.1035,0.0965,0.18239854,1.22308979,1.30132922,1.38854144,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,5000.0,60000.0,265.0,55.0,139.75,60.0,519.75,265.0,55.0,139.75,25.0,484.75,4480.25,276.0,5.52,4204.25,55.95,216.44,271.12,543.51,3936.74,5484.75,1004.5,1280.5,1548.01,0.10395,0.09695,0.18314417,1.22420624,1.30457275,1.39322129,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,5100.0,61200.0,270.3,56.1,144.75,61.2,532.35,270.3,56.1,144.75,25.5,496.65,4567.65,288.66,5.66,4278.99,58.92,224.04,280.64,563.6,4004.05,5596.65,1029.0,1317.66,1592.6,0.10438235,0.09738235,0.18385999,1.22527996,1.30793715,1.39774728,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,5200.0,62400.0,275.6,57.2,149.75,62.4,544.95,275.6,57.2,149.75,26.0,508.55,4655.05,301.08,5.79,4353.97,61.89,231.64,290.16,583.7,4071.35,5708.55,1053.5,1354.58,1637.2,0.10479808,0.09779808,0.18454774,1.22631336,1.31111377,1.40212706,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,5300.0,63600.0,280.9,58.3,154.75,63.6,557.55,280.9,58.3,154.75,26.5,520.45,4742.45,314.82,5.94,4427.63,64.86,239.24,299.68,603.79,4138.66,5820.45,1078.0,1392.82,1681.79,0.10519811,0.09819811,0.18520905,1.22730867,1.31457461,1.406361,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,5400.0,64800.0,286.2,59.4,159.75,64.8,570.15,286.2,59.4,159.75,27.0,532.35,4829.85,327.78,6.07,4502.07,67.83,246.84,309.2,623.88,4205.97,5932.35,1102.5,1430.28,1726.38,0.10558333,0.09858333,0.18584541,1.22826796,1.31769386,1.41045942,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,5500.0,66000.0,291.5,60.5,164.75,66.0,582.75,291.5,60.5,164.75,27.5,544.25,4917.25,341.55,6.21,4575.7,70.8,254.44,318.72,643.96,4273.29,6044.25,1127.0,1468.55,1770.96,0.10595455,0.09895455,0.1864582,1.22919315,1.32094543,1.41442542,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,5600.0,67200.0,296.8,61.6,169.75,67.2,595.35,296.8,61.6,169.75,28.0,556.15,5004.65,355.6,6.35,4649.05,73.77,262.04,328.24,664.05,4340.6,6156.15,1151.5,1507.1,1815.55,0.1063125,0.0993125,0.18704872,1.23008602,1.32417376,1.41827167,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,5700.0,68400.0,302.1,62.7,174.75,68.4,607.95,302.1,62.7,174.75,28.5,568.05,5092.05,368.79,6.47,4723.26,76.74,269.64,337.76,684.15,4407.9,6268.05,1176.0,1544.79,1860.15,0.10665789,0.09965789,0.18761816,1.23094824,1.32706012,1.42200368,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,5800.0,69600.0,307.4,63.8,179.75,69.6,620.55,307.4,63.8,179.75,29.0,579.95,5179.45,381.64,6.58,4797.81,79.71,277.24,347.28,704.24,4475.21,6379.95,1200.5,1582.14,1904.74,0.10699138,0.09999138,0.18816762,1.23178137,1.32976295,1.42562025,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,5900.0,70800.0,312.7,64.9,184.75,70.8,633.15,312.7,64.9,184.75,29.5,591.85,5266.85,394.71,6.69,4872.14,82.68,284.84,356.8,724.33,4542.52,6491.85,1225.0,1619.71,1949.33,0.10731356,0.10031356,0.18869814,1.23258684,1.33244324,1.42912965,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
