source,engine,profile_id,profile_label_fr,profile_label_en,dimension_status,dimension_territory,dimension_atmp,rgdu_expression_used,smic_multiple,gross_monthly_eur,net_monthly_eur,employer_cost_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,social_wedge_monthly_eur,employee_contribution_rate,employer_contribution_rate,social_wedge_rate,cost_to_net_ratio,rgdu_monthly_eur,rgdu_rate_gross,rgdu_rate_employer_cost,api_total_contributions_monthly_eur,api_employer_contributions_monthly_eur,api_employee_contributions_monthly_eur,missing_variables_gross,missing_variables_net,missing_variables_employer_cost,status,error
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.61,3005.9,2357.52,4016.82,648.38,1010.92,1659.3,0.2157,0.3363,0.4131,1.7038,298.49,0.0993,0.0743,1659.3,1010.92,648.38,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.62,3024.57,2372.3,4047.4,652.27,1022.83,1675.09,0.2157,0.3382,0.4139,1.7061,294.59,0.0974,0.0728,1675.09,1022.83,652.27,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.63,3043.24,2387.08,4077.73,656.16,1034.49,1690.65,0.2156,0.3399,0.4146,1.7083,290.93,0.0956,0.0713,1690.65,1034.49,656.16,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.64,3061.91,2401.86,4108.14,660.05,1046.23,1706.28,0.2156,0.3417,0.4153,1.7104,287.21,0.0938,0.0699,1706.28,1046.23,660.05,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.65,3080.58,2416.64,4138.61,663.94,1058.03,1721.97,0.2155,0.3435,0.4161,1.7125,283.41,0.092,0.0685,1721.97,1058.03,663.94,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.66,3099.25,2431.42,4168.84,667.83,1069.59,1737.42,0.2155,0.3451,0.4168,1.7146,279.86,0.0903,0.0671,1737.42,1069.59,667.83,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.67,3117.92,2446.2,4199.14,671.72,1081.22,1752.94,0.2154,0.3468,0.4175,1.7166,276.25,0.0886,0.0658,1752.94,1081.22,671.72,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.68,3136.59,2460.98,4229.49,675.61,1092.9,1768.52,0.2154,0.3484,0.4181,1.7186,272.57,0.0869,0.0644,1768.52,1092.9,675.61,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.69,3155.26,2475.76,4259.6,679.5,1104.34,1783.84,0.2154,0.35,0.4188,1.7205,269.14,0.0853,0.0632,1783.84,1104.34,679.5,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.7,3173.93,2490.54,4289.76,683.39,1115.83,1799.23,0.2153,0.3516,0.4194,1.7224,265.66,0.0837,0.0619,1799.23,1115.83,683.39,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.71,3192.6,2505.31,4319.67,687.29,1127.07,1814.35,0.2153,0.353,0.42,1.7242,262.43,0.0822,0.0608,1814.35,1127.07,687.29,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.72,3211.27,2520.09,4349.63,691.18,1138.36,1829.53,0.2152,0.3545,0.4206,1.726,259.15,0.0807,0.0596,1829.53,1138.36,691.18,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.73,3229.94,2534.87,4379.64,695.07,1149.7,1844.77,0.2152,0.356,0.4212,1.7278,255.81,0.0792,0.0584,1844.77,1149.7,695.07,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.74,3248.61,2549.65,4409.39,698.96,1160.78,1859.74,0.2152,0.3573,0.4218,1.7294,252.74,0.0778,0.0573,1859.74,1160.78,698.96,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.75,3267.28,2564.43,4439.52,702.85,1172.24,1875.09,0.2151,0.3588,0.4224,1.7312,249.29,0.0763,0.0562,1875.09,1172.24,702.85,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.76,3285.96,2579.22,4469.06,706.74,1183.1,1889.84,0.2151,0.36,0.4229,1.7327,246.45,0.075,0.0551,1889.84,1183.1,706.74,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.77,3304.63,2594.0,4498.96,710.63,1194.33,1904.97,0.215,0.3614,0.4234,1.7344,243.22,0.0736,0.0541,1904.97,1194.33,710.63,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.78,3323.3,2608.78,4528.59,714.52,1205.29,1919.81,0.215,0.3627,0.4239,1.7359,240.27,0.0723,0.0531,1919.81,1205.29,714.52,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.79,3341.97,2623.56,4558.26,718.41,1216.29,1934.71,0.215,0.3639,0.4244,1.7374,237.28,0.071,0.0521,1934.71,1216.29,718.41,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.8,3360.64,2638.33,4587.98,722.31,1227.34,1949.65,0.2149,0.3652,0.4249,1.739,234.24,0.0697,0.0511,1949.65,1227.34,722.31,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.81,3379.31,2653.11,4617.42,726.2,1238.11,1964.3,0.2149,0.3664,0.4254,1.7404,231.48,0.0685,0.0501,1964.3,1238.11,726.2,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.82,3397.98,2667.89,4646.89,730.09,1248.91,1979.0,0.2149,0.3675,0.4259,1.7418,228.68,0.0673,0.0492,1979.0,1248.91,730.09,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.83,3416.65,2682.67,4676.42,733.98,1259.77,1993.74,0.2148,0.3687,0.4263,1.7432,225.84,0.0661,0.0483,1993.74,1259.77,733.98,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.84,3435.32,2697.45,4705.98,737.87,1270.66,2008.53,0.2148,0.3699,0.4268,1.7446,222.95,0.0649,0.0474,2008.53,1270.66,737.87,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.85,3453.99,2712.23,4735.25,741.76,1281.26,2023.02,0.2148,0.371,0.4272,1.7459,220.36,0.0638,0.0465,2023.02,1281.26,741.76,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.86,3472.66,2727.01,4764.56,745.65,1291.9,2037.55,0.2147,0.372,0.4276,1.7472,217.74,0.0627,0.0457,2037.55,1291.9,745.65,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.87,3491.33,2741.79,4793.9,749.54,1302.57,2052.12,0.2147,0.3731,0.4281,1.7485,215.07,0.0616,0.0449,2052.12,1302.57,749.54,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.88,3510.0,2756.57,4823.29,753.43,1313.29,2066.73,0.2147,0.3742,0.4285,1.7497,212.35,0.0605,0.044,2066.73,1313.29,753.43,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.89,3528.67,2771.35,4852.37,757.32,1323.7,2081.03,0.2146,0.3751,0.4289,1.7509,209.96,0.0595,0.0433,2081.03,1323.7,757.32,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.9,3547.34,2786.13,4881.49,761.21,1334.15,2095.36,0.2146,0.3761,0.4292,1.7521,207.52,0.0585,0.0425,2095.36,1334.15,761.21,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.91,3566.01,2800.9,4910.64,765.11,1344.63,2109.74,0.2146,0.3771,0.4296,1.7532,205.05,0.0575,0.0418,2109.74,1344.63,765.11,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.92,3584.68,2815.68,4939.83,769.0,1355.15,2124.15,0.2145,0.378,0.43,1.7544,202.53,0.0565,0.041,2124.15,1355.15,769.0,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.93,3603.35,2830.46,4969.06,772.89,1365.71,2138.59,0.2145,0.379,0.4304,1.7556,199.99,0.0555,0.0402,2138.59,1365.71,772.89,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.94,3622.02,2845.24,4997.96,776.78,1375.94,2152.72,0.2145,0.3799,0.4307,1.7566,197.76,0.0546,0.0396,2152.72,1375.94,776.78,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.95,3640.69,2860.02,5026.9,780.67,1386.21,2166.87,0.2144,0.3808,0.4311,1.7576,195.51,0.0537,0.0389,2166.87,1386.21,780.67,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.96,3659.36,2874.8,5055.86,784.56,1396.5,2181.06,0.2144,0.3816,0.4314,1.7587,193.21,0.0528,0.0382,2181.06,1396.5,784.56,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.97,3678.03,2889.58,5084.87,788.45,1406.84,2195.29,0.2144,0.3825,0.4317,1.7597,190.89,0.0519,0.0375,2195.29,1406.84,788.45,8,27,37,ok,
