source,engine,profile_id,profile_label_fr,profile_label_en,dimension_status,dimension_territory,dimension_atmp,rgdu_expression_used,smic_multiple,gross_monthly_eur,net_monthly_eur,employer_cost_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,social_wedge_monthly_eur,employee_contribution_rate,employer_contribution_rate,social_wedge_rate,cost_to_net_ratio,rgdu_monthly_eur,rgdu_rate_gross,rgdu_rate_employer_cost,employee_csg_crds_monthly_eur,employee_old_age_monthly_eur,employee_retirement_complementary_ceg_cet_monthly_eur,employee_other_monthly_eur,employer_old_age_monthly_eur,employer_retirement_complementary_ceg_cet_monthly_eur,employer_health_monthly_eur,employer_family_monthly_eur,employer_unemployment_monthly_eur,employer_ags_monthly_eur,employer_atmp_monthly_eur,employer_fnal_monthly_eur,employer_csa_monthly_eur,employer_training_monthly_eur,employer_apprenticeship_tax_monthly_eur,employer_social_dialogue_monthly_eur,employer_other_monthly_eur,employer_contributions_before_relief_monthly_eur,api_total_contributions_monthly_eur,api_employer_contributions_monthly_eur,api_employee_contributions_monthly_eur,missing_variables_gross,missing_variables_net,missing_variables_employer_cost,status,error
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.9,1680.32,1283.5,1755.8,396.82,75.48,472.3,0.2362,0.0449,0.269,1.368,668.94,0.3981,0.381,164.52,122.66,67.38,42.25,179.12,100.99,218.44,88.22,71.41,4.2,16.8,1.68,5.04,9.24,7.39,0.27,41.61,744.42,472.3,75.48,396.82,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.91,1698.99,1298.01,1775.09,400.98,76.1,477.08,0.236,0.0448,0.2688,1.3675,676.37,0.3981,0.381,166.33,124.03,68.13,42.49,181.11,102.11,220.87,89.2,72.21,4.25,16.99,1.7,5.1,9.34,7.48,0.27,41.85,752.47,477.08,76.1,400.98,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.92,1717.66,1312.51,1794.38,405.15,76.72,481.86,0.2359,0.0447,0.2685,1.3671,683.8,0.3981,0.3811,168.14,125.39,68.88,42.74,183.1,103.23,223.3,90.18,73.0,4.29,17.18,1.72,5.15,9.45,7.56,0.27,42.09,760.52,481.86,76.72,405.15,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.93,1736.33,1327.02,1813.66,409.31,77.33,486.64,0.2357,0.0445,0.2683,1.3667,691.23,0.3981,0.3811,169.94,126.75,69.63,42.99,185.09,104.35,225.72,91.16,73.79,4.34,17.36,1.74,5.21,9.55,7.64,0.28,42.33,768.57,486.64,77.33,409.31,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.94,1755.0,1341.52,1832.95,413.48,77.95,491.43,0.2356,0.0444,0.2681,1.3663,698.67,0.3981,0.3812,171.75,128.12,70.38,43.24,187.08,105.48,228.15,92.14,74.59,4.39,17.55,1.75,5.26,9.65,7.72,0.28,42.57,776.62,491.43,77.95,413.48,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.95,1773.67,1356.03,1852.24,417.64,78.57,496.21,0.2355,0.0443,0.2679,1.3659,706.1,0.3981,0.3812,173.56,129.48,71.12,43.48,189.07,106.6,230.58,93.12,75.38,4.43,17.74,1.77,5.32,9.76,7.8,0.28,42.81,784.66,496.21,78.57,417.64,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.96,1792.34,1370.53,1871.52,421.81,79.18,500.99,0.2353,0.0442,0.2677,1.3655,713.53,0.3981,0.3813,175.36,130.84,71.87,43.73,191.06,107.72,233.0,94.1,76.17,4.48,17.92,1.79,5.38,9.86,7.89,0.29,43.05,792.71,500.99,79.18,421.81,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.97,1811.01,1385.04,1890.81,425.97,79.8,505.77,0.2352,0.0441,0.2675,1.3652,720.96,0.3981,0.3813,177.17,132.2,72.62,43.98,193.05,108.84,235.43,95.08,76.97,4.53,18.11,1.81,5.43,9.96,7.97,0.29,43.29,800.76,505.77,79.8,425.97,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.98,1829.68,1399.54,1916.68,430.14,87.0,517.14,0.2351,0.0476,0.2698,1.3695,721.81,0.3945,0.3766,178.98,133.57,73.37,44.22,195.04,109.96,237.86,96.06,77.76,4.57,18.3,1.83,5.49,10.06,8.05,0.29,43.53,808.81,517.14,87.0,430.14,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.99,1848.35,1414.05,1954.34,434.3,105.99,540.29,0.235,0.0573,0.2765,1.3821,710.88,0.3846,0.3637,180.78,134.93,74.12,44.47,197.03,111.09,240.29,97.04,78.55,4.62,18.48,1.85,5.55,10.17,8.13,0.3,43.77,816.86,540.29,105.99,434.3,8,26,35,ok,
