smic_multiple,rgdu_monthly_eur_may,rgdu_monthly_eur_june,delta_rgdu_eur
2.51,123.46,116.69,-6.769999999999996
2.52,122.59,116.21,-6.38000000000001
2.53,121.71,115.25,-6.459999999999994
2.54,120.82,114.76,-6.059999999999988
2.55,120.38,114.26,-6.11999999999999
2.56,119.47,113.75,-5.719999999999999
2.57,118.54,113.24,-5.300000000000011
2.58,118.08,112.72,-5.359999999999999
2.59,117.6,112.19,-5.409999999999997
2.6,116.65,111.65,-5.0
2.61,116.16,111.1,-5.060000000000002
2.62,115.66,111.04,-4.61999999999999
2.63,115.15,110.48,-4.670000000000002
2.64,114.64,109.92,-4.719999999999999
2.65,113.64,109.84,-3.799999999999997
2.66,113.59,109.26,-4.329999999999998
2.67,113.05,109.17,-3.8799999999999955
2.68,112.51,109.08,-3.430000000000007
2.69,111.96,108.48,-3.4799999999999898
2.7,111.41,108.38,-3.030000000000001
2.71,111.33,108.28,-3.049999999999997
2.72,110.76,108.17,-2.5900000000000034
2.73,110.18,108.06,-2.1200000000000045
2.74,110.09,107.43,-2.6599999999999966
2.75,109.5,107.31,-2.1899999999999977
2.76,109.41,107.7,-1.7099999999999937
2.77,109.3,107.57,-1.730000000000004
2.78,108.7,107.44,-1.2600000000000051
2.79,108.58,107.31,-1.269999999999996
2.8,108.47,107.17,-1.2999999999999972
2.81,108.35,107.03,-1.3199999999999932
2.82,107.72,107.41,-0.3100000000000023
2.83,107.59,107.26,-0.3299999999999983
2.84,107.46,107.64,0.18000000000000682
2.85,107.32,107.48,0.1600000000000108
2.86,107.19,107.86,0.6700000000000017
2.87,107.56,107.7,0.14000000000000057
2.88,107.42,108.08,0.6599999999999966
2.89,107.27,108.45,1.1800000000000068
2.9,107.12,108.29,1.1700000000000017
2.91,107.49,108.66,1.1700000000000017
2.92,107.33,109.03,1.7000000000000028
2.93,107.17,0.0,-107.17
2.94,107.53,0.0,-107.53
2.95,107.37,0.0,-107.37
2.96,107.73,0.0,-107.73
