country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_eur,ivs_employer_monthly_eur,ivs_employee_monthly_eur,aggiuntivo_1_percent_monthly_eur,naspi_monthly_eur,cigo_monthly_eur,cigs_employer_monthly_eur,cigs_employee_monthly_eur,maternita_monthly_eur,fondo_garanzia_tfr_monthly_eur,cuaf_monthly_eur,inail_monthly_eur,tfr_accrual_monthly_eur,irpef_lorda_annual_eur,detrazione_lavoro_dipendente_annual_eur,ulteriore_detrazione_annual_eur,trattamento_integrativo_annual_eur,addizionale_regionale_annual_eur,addizionale_comunale_annual_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_eur,income_tax_monthly_eur,net_after_income_tax_monthly_eur,employer_cost_monthly_eur,social_wedge_monthly_eur,total_wedge_after_income_tax_monthly_eur,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_eur,delta_net_before_income_tax_monthly_eur,delta_net_after_income_tax_monthly_eur,delta_employer_cost_monthly_eur,delta_social_wedge_monthly_eur,delta_total_wedge_after_income_tax_monthly_eur,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",4.03,9327.683651,2220.921477,857.214128,46.423503,150.175707,186.553673,55.966102,27.983051,42.907345,18.655367,63.428249,46.638418,644.301111,35523.684922,0.0,0.0,0.0,3355.066763,906.774801,931.620682,2785.246338,0.0998769594374794,0.2986000000000001,8396.062969,3315.46054,5080.602429,12757.231101,4361.168131,7676.628672,1.519430136150457,2.5109681930657963,23.14561700000013,20.717641000001095,10.932699999999386,31.655660999998872,10.938018000000739,20.722960999999486,0.895099966442933,0.4723442887696329,1.3676741043454879,0.4725740514932342,0.8953298155758549
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",4.04,9350.829268,2226.432449,859.34121,46.654959,150.548351,187.016585,56.104976,28.052488,43.013815,18.701659,63.585639,46.754146,645.899874,35630.587953,0.0,0.0,0.0,3363.345532,909.012306,934.048657,2792.157619,0.09988939270619851,0.29860000000000003,8416.780611,3325.245483,5091.535128,12788.886761,4372.10615,7697.351632,1.5194511241079696,2.5117938771315607,23.14561700000013,20.717641999999614,10.932699000000866,31.655660000000353,10.938018999999258,20.722960000000057,0.8951000096475933,0.4723442455649726,1.3676740611408276,0.4725740946978945,0.8953297723711553
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",4.05,9373.974885,2231.94342,861.468292,46.886416,150.920996,187.479498,56.243849,28.121925,43.120284,18.74795,63.743029,46.869874,647.498636,35737.490985,0.0,0.0,0.0,3371.624302,911.249811,936.476632,2799.068901,0.09990176457605972,0.2986,8437.498253,3335.030425,5102.467828,12820.542421,4383.044168,7718.074593,1.519472008996783,2.5126160229267738,23.14561700000013,20.717641999999614,10.932699999999386,31.655660000000353,10.938018000000739,20.722961000000396,0.8951000096475933,0.4723442887696329,1.3676740611408276,0.4725740514932342,0.8953298155758941
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",4.06,9397.120502,2237.454392,863.595374,47.117872,151.29364,187.94241,56.382723,28.191362,43.226754,18.794241,63.900419,46.985603,649.097398,35844.394017,0.0,0.0,0.0,3379.903072,913.487317,938.904607,2805.980182,0.09991407550074924,0.2986,8458.215895,3344.815367,5113.400528,12852.198082,4393.982187,7738.797554,1.51949279157427,2.5134346531464216,23.14561700000013,20.717641999999614,10.932700000000295,31.65566100000069,10.938018999999258,20.722960999999486,0.8951000096475933,0.4723442887696722,1.3676741043455662,0.4725740946978945,0.8953298155758549
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",4.07,9420.266119,2242.965363,865.722456,47.349328,151.666285,188.405322,56.521597,28.260798,43.333224,18.840532,64.05781,47.101331,650.69616,35951.297048,0.0,0.0,0.0,3388.181841,915.724822,941.332583,2812.891463,0.09992632592949434,0.29860000000000003,8478.933536,3354.600309,5124.333227,12883.853742,4404.920205,7759.520515,1.5195134725904003,2.514249790291808,23.14561700000013,20.717641000001095,10.932698999999957,31.655659999998534,10.938018000000739,20.722961000000396,0.895099966442933,0.4723442455649333,1.367674061140749,0.4725740514932342,0.8953298155758941
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",4.08,9443.411736,2248.476334,867.849539,47.580784,152.038929,188.868235,56.66047,28.330235,43.439694,18.886823,64.2152,47.217059,652.294922,36058.20008,0.0,0.0,0.0,3396.460611,917.962327,943.760558,2819.802744,0.09993851630711811,0.29860000000000003,8499.651178,3364.385251,5135.265927,12915.509402,4415.858224,7780.243475,1.519534052787832,2.515061456672626,23.14561700000013,20.717641999999614,10.932700000000295,31.655660000000353,10.938018999999258,20.722960000000057,0.8951000096475933,0.4723442887696722,1.3676740611408276,0.4725740946978945,0.8953297723711553
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",4.09,9466.557353,2253.987306,869.976621,47.81224,152.411573,189.331147,56.799344,28.399672,43.546164,18.933115,64.37259,47.332787,653.893684,36165.103111,0.0,0.0,0.0,3404.73938,920.199833,946.188533,2826.714026,0.09995064707409337,0.2986,8520.36882,3374.170194,5146.198626,12947.165062,4426.796242,7800.966436,1.5195545329020006,2.5158696744089846,23.14561700000013,20.717641999999614,10.932698999999957,31.655660000000353,10.938018000000739,20.722960999999486,0.8951000096475933,0.4723442455649333,1.3676740611408276,0.4725740514932342,0.8953298155758549
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",4.1,9489.70297,2259.498277,872.103703,48.043696,152.784218,189.794059,56.938218,28.469109,43.652634,18.979406,64.52998,47.448515,655.492446,36272.006143,0.0,0.0,0.0,3413.01815,922.437338,948.616508,2833.625307,0.09996271866659559,0.2986000000000001,8541.086462,3383.955136,5157.131326,12978.820723,4437.734261,7821.689397,1.5195749136612053,2.5166744654334234,23.14561700000013,20.717641999999614,10.932699999999386,31.65566100000069,10.938018999999258,20.722961000000396,0.8951000096475933,0.4723442887696329,1.3676741043455662,0.4725740946978945,0.8953298155758941
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",4.11,9512.848587,2265.009249,874.230785,48.275153,153.156862,190.256972,57.077092,28.538546,43.759104,19.025697,64.68737,47.564243,657.091208,36378.909174,0.0,0.0,0.0,3421.29692,924.674843,951.044483,2840.536588,0.09997473151655521,0.2986,8561.804104,3393.740078,5168.064025,13010.476383,4448.672279,7842.412358,1.5195951957866962,2.5174758514928937,23.14561700000013,20.717642000001433,10.932698999999957,31.655659999998534,10.938018000000739,20.722960999999486,0.8951000096476719,0.4723442455649333,1.367674061140749,0.4725740514932342,0.8953298155758549
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",4.12,9535.994204,2270.52022,876.357867,48.506609,153.529507,190.719884,57.215965,28.607983,43.865573,19.071988,64.844761,47.679971,658.68997,36485.812206,0.0,0.0,0.0,3429.575689,926.912348,953.472459,2847.447869,0.0999866860517092,0.2985999999999999,8582.521745,3403.52502,5178.996725,13042.132043,4459.610298,7863.135318,1.5196153799927588,2.518273854150714,23.14561700000013,20.717640999999276,10.932700000000295,31.655660000000353,10.938018999999258,20.722960000000057,0.8950999664428544,0.4723442887696722,1.3676740611408276,0.4725740946978945,0.8953297723711553
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",4.13,9559.139821,2276.031191,878.48495,48.738065,153.902151,191.182796,57.354839,28.677419,43.972043,19.11828,65.002151,47.795699,660.288732,36592.715237,0.0,0.0,0.0,3437.854459,929.149854,955.900434,2854.359151,0.0999985826956518,0.29860000000000003,8603.239387,3413.309963,5189.929425,13073.787704,4470.548317,7883.858279,1.519635466986799,2.519068494788518,23.14561700000013,20.717641999999614,10.932700000000295,31.65566100000069,10.938019000000168,20.722961000000396,0.8951000096475933,0.4723442887696722,1.3676741043455662,0.4725740946979338,0.8953298155758941
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",4.14,9582.285438,2281.542163,880.612032,48.969521,154.274796,191.645709,57.493713,28.746856,44.078513,19.164571,65.159541,47.911427,661.887494,36699.618269,0.0,0.0,0.0,3446.133229,931.387359,958.328409,2861.270432,0.10001042186788453,0.29860000000000003,8623.957029,3423.094905,5200.862124,13105.443364,4481.486335,7904.58124,1.5196554574694243,2.5198597946081462,23.14561700000013,20.717641999999614,10.932698999999957,31.655660000000353,10.938017999999829,20.722961000000396,0.8951000096475933,0.4723442455649333,1.3676740611408276,0.4725740514931949,0.8953298155758941
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",4.15,9605.431055,2287.053134,882.739114,49.200977,154.64744,192.108621,57.632586,28.816293,44.184983,19.210862,65.316931,48.027155,663.486256,36806.521301,0.0,0.0,0.0,3454.411998,933.624864,960.756384,2868.181713,0.10002220398386552,0.2986000000000001,8644.674671,3432.879847,5211.794824,13137.099024,4492.424354,7925.304201,1.5196753521345263,2.5206477746335434,23.14561699999831,20.717642000001433,10.932699999999386,31.655659999998534,10.938019000000168,20.722960999999486,0.8951000096477422,0.47234428876967005,1.3676740611408564,0.47257409469797096,0.8953298155759252
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",4.16,9628.576672,2292.564106,884.866196,49.432433,155.020084,192.571533,57.77146,28.88573,44.291453,19.257153,65.474321,48.142883,665.085018,36913.424332,0.0,0.0,0.0,3462.690768,935.86237,963.18436,2875.092994,0.10003392945505814,0.29860000000000003,8665.392312,3442.664789,5222.727523,13168.754685,4503.362372,7946.027161,1.519695151669361,2.521432455712618,23.14561700000013,20.717640999999276,10.932698999999957,31.65566100000069,10.938017999999829,20.722960000000057,0.8950999664428544,0.4723442455649333,1.3676741043455662,0.4725740514931949,0.8953297723711553
Italy,IT,2026-01,2026-01-01,italy__standard_employee_roma_lazio,"Italie · salarie standard (Rome, Latium)","Italy · standard employee (Rome, Lazio)",4.17,9651.722289,2298.075077,886.993278,49.66389,155.392729,193.034446,57.910334,28.955167,44.397923,19.303445,65.631712,48.258611,666.68378,37020.327364,0.0,0.0,0.0,3470.969538,938.099875,965.612335,2882.004275,0.10004559868897887,0.29860000000000003,8686.109954,3452.449731,5233.660223,13200.410345,4514.300391,7966.750122,1.5197148567546266,2.5222138585190756,23.14561700000013,20.717641999999614,10.932700000000295,31.655660000000353,10.938019000000168,20.722961000000396,0.8951000096475933,0.4723442887696722,1.3676740611408276,0.4725740946979338,0.8953298155758941
