country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,region_code,region_label_fr,region_label_en,smic_multiple,gross_monthly_eur,employee_ss_monthly_eur,employer_ss_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_eur,irpf_monthly_eur,net_after_income_tax_monthly_eur,employer_cost_monthly_eur,social_wedge_monthly_eur,total_wedge_after_income_tax_monthly_eur,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_eur,delta_net_before_income_tax_monthly_eur,delta_net_after_income_tax_monthly_eur,delta_employer_cost_monthly_eur,delta_social_wedge_monthly_eur,delta_total_wedge_after_income_tax_monthly_eur,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.91,1296.295,92.59,450.82,92.59,450.82,0.07142664285521429,0.3477757763472049,1203.705,0.0,1203.705,1747.115,543.41,543.41,1.4514478215177304,1.4514478215177304,14.245000000000118,14.24499999999989,14.24499999999989,14.245000000000118,0.0,0.0,0.999999999999984,0.999999999999984,1.0,0.0,0.0
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.92,1310.54,92.59,450.82,92.59,450.82,0.07065026630244021,0.3439956048651701,1217.95,0.0,1217.95,1761.36,543.41,543.41,1.446167740876062,1.446167740876062,14.24499999999989,14.245000000000118,14.245000000000118,14.24499999999989,0.0,0.0,1.000000000000016,1.000000000000016,1.0,0.0,0.0
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.93,1324.785,92.59,450.82,92.59,450.82,0.06989058601961827,0.3402967273935016,1232.195,0.0,1232.195,1775.605,543.41,543.41,1.4410097427761026,1.4410097427761026,14.245000000000118,14.24499999999989,14.24499999999989,14.245000000000118,0.0,0.0,0.999999999999984,0.999999999999984,1.0,0.0,0.0
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.94,1339.03,92.59,450.82,92.59,450.82,0.06914706914706915,0.3366765494425069,1246.44,0.83,1245.61,1789.85,543.41,544.24,1.4359696415391032,1.4369264858181934,14.24499999999989,14.245000000000118,13.414999999999964,14.24499999999989,0.0,0.8300000000000409,1.000000000000016,0.9417339417339464,1.0,0.0,0.058266058266061585
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.95,1353.275,92.59,450.82,92.59,450.82,0.06841920526131054,0.3331325857641647,1260.685,2.47,1258.215,1804.095,543.41,545.88,1.43104344066916,1.4338527199246551,14.245000000000118,14.24499999999989,12.605000000000018,14.245000000000118,0.0,1.6399999999999864,0.999999999999984,0.8848718848718788,1.0,0.0,0.11512811512811322
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.96,1367.52,92.59,450.82,92.59,450.82,0.06770650520650522,0.32966245466245464,1274.93,5.18,1269.75,1818.34,543.41,548.59,1.4262273222843607,1.4320456782831266,14.24499999999989,14.245000000000118,11.535000000000082,14.24499999999989,0.0,2.7100000000000364,1.000000000000016,0.8097578097578217,1.0,0.0,0.19024219024219424
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.97,1381.765,92.59,450.82,92.59,450.82,0.06700849999819072,0.32626387265562523,1289.175,7.89,1281.285,1832.585,543.41,551.3,1.421517637248628,1.43027117308015,14.245000000000118,14.24499999999989,11.535000000000082,14.245000000000118,0.0,2.7099999999999227,0.999999999999984,0.8097578097578088,1.0,0.0,0.19024219024218322
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.98,1396.01,92.59,450.82,92.59,450.82,0.06632473979412755,0.3229346494652617,1303.42,10.59,1292.83,1846.83,543.41,554.0,1.4169108959506527,1.4285172837882782,14.24499999999989,14.245000000000118,11.544999999999845,14.24499999999989,0.0,2.7000000000000455,1.000000000000016,0.8104598104598059,1.0,0.0,0.1895401895401942
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,0.99,1410.255,92.59,450.82,92.59,450.82,0.0656547929275202,0.31967268330904697,1317.665,13.3,1304.365,1861.075,543.41,556.71,1.4124037596809507,1.4268053803958247,14.245000000000118,14.24499999999989,11.535000000000082,14.245000000000118,0.0,2.7100000000000364,0.999999999999984,0.8097578097578088,1.0,0.0,0.19024219024219122
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.0,1424.5,92.59,450.85,92.59,450.85,0.064998244998245,0.3164970164970165,1331.91,16.01,1315.9,1875.35,543.44,559.45,1.4080155566066774,1.425146287711832,14.24499999999989,14.245000000000118,11.535000000000082,14.274999999999864,0.030000000000086402,2.740000000000009,1.000000000000016,0.8097578097578217,1.0021060021060002,0.0021060021060081875,0.19234819234819445
