country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_eur,employee_contribution_rate,employee_contributions_monthly_eur,ww_rate,aof_rate,zvw_rate,wko_rate,whk_rate,contribution_base_monthly_eur,ww_monthly_eur,aof_monthly_eur,zvw_monthly_eur,wko_monthly_eur,whk_monthly_eur,employer_contributions_monthly_eur,employer_contribution_rate,net_before_income_tax_monthly_eur,annual_income_eur,annual_box1_tax_eur,annual_algemene_heffingskorting_eur,annual_arbeidskorting_eur,annual_loonheffing_eur,loonheffing_monthly_eur,net_after_loonheffing_monthly_eur,employer_cost_monthly_eur,social_wedge_monthly_eur,total_wedge_after_loonheffing_monthly_eur,cost_to_net_ratio,cost_to_net_after_loonheffing_ratio,delta_gross_monthly_eur,delta_net_before_income_tax_monthly_eur,delta_net_after_loonheffing_monthly_eur,delta_employer_cost_monthly_eur,delta_social_wedge_monthly_eur,delta_total_wedge_after_loonheffing_monthly_eur,marginal_net_before_income_tax_rate,marginal_net_after_loonheffing_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_loonheffing_rate
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",0.9,2104.596,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2104.596,57.66593,160.580675,128.380356,10.52298,31.989859,389.1398,0.18490000000000004,2104.596,25255.2,9028.73,3115.0,5117.16,796.57,66.38,2038.216,2493.7358,389.1398,455.5198,1.1849,1.2234894635308526,23.384399999999914,23.384399999999914,22.274399999999787,27.708174999999756,4.323774999999955,5.433774999999969,1.0,0.9525324575357875,1.1848999760524048,0.18489997605240976,0.23236751851661744
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",0.91,2127.9804,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2127.9804,58.306663,162.364905,129.806804,10.639902,32.345302,393.463576,0.18490000000000004,2127.9804,25535.76,9129.03,3115.0,5204.16,809.87,67.49,2060.4904,2521.443976,393.463576,460.953576,1.1849,1.2237106156670274,23.384399999999914,23.384399999999914,22.27440000000024,27.708176000000094,4.323776000000009,5.433776000000023,1.0,0.952532457535807,1.184900018815971,0.18490001881596385,0.23236756128017153
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",0.92,2151.3648,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2151.3648,58.947396,164.149134,131.233253,10.756824,32.700745,397.787352,0.18489999999999998,2151.3648,25816.32,9229.33,3115.0,5291.16,823.17,68.6,2082.7648,2549.152152,397.787352,466.387352,1.1848999999999998,1.2239270375224316,23.384399999999914,23.384399999999914,22.274399999999787,27.708176000000094,4.323776000000009,5.433776000000023,1.0,0.9525324575357875,1.184900018815971,0.18490001881596385,0.23236756128017153
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",0.93,2174.7492,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2174.7492,59.588128,165.933364,132.659701,10.873746,33.056188,402.111127,0.1849,2174.7492,26097.0,9329.68,3115.0,5304.91,909.77,75.81,2098.9392,2576.860327,402.111127,477.921127,1.1849,1.227696508350504,23.38440000000037,23.38440000000037,16.174399999999878,27.708174999999756,4.323775000000012,11.533774999999991,1.0,0.6916747917414867,1.184899976052382,0.1848999760524086,0.49322518431089996
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",0.94,2198.1336,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2198.1336,60.228861,167.717594,134.08615,10.990668,33.411631,406.434903,0.18490000000000004,2198.1336,26377.56,9429.98,3115.0,5310.38,1004.6,83.72,2114.4136,2604.568503,406.434903,490.154903,1.1849,1.2318159997835805,23.384399999999914,23.384399999999914,15.47440000000006,27.708176000000094,4.323776000000009,12.233775999999978,1.0,0.6617403055028188,1.184900018815971,0.18490001881596385,0.5231597133131499
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",0.95,2221.518,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2221.518,60.869593,169.501823,135.512598,11.10759,33.767074,410.758678,0.1849,2221.518,26658.24,9530.32,3115.0,5315.86,1099.46,91.62,2129.898,2632.276678,410.758678,502.378678,1.1848999999999998,1.2358698295411328,23.384399999999914,23.384399999999914,15.484400000000278,27.70817500000021,4.323774999999955,12.22377499999999,1.0,0.6621679410205237,1.1848999760524244,0.18489997605240976,0.522732035031903
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",0.96,2244.9024,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2244.9024,61.510326,171.286053,136.939046,11.224512,34.122516,415.082454,0.1849,2244.9024,26938.8,9630.62,3115.0,5321.33,1194.29,99.52,2145.3824,2659.984854,415.082454,514.602454,1.1849,1.2398651418786693,23.384399999999914,23.384399999999914,15.484399999999823,27.70817599999964,4.323776000000009,12.223775999999987,1.0,0.6621679410205042,1.1849000188159517,0.18490001881596385,0.5227320777954547
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",0.97,2268.2868,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2268.2868,62.151058,173.070283,138.365495,11.341434,34.477959,419.406229,0.1849,2268.2868,27219.48,9730.96,3115.0,5326.8,1289.16,107.43,2160.8568,2687.693029,419.406229,526.836229,1.1849,1.2438089508383896,23.384399999999914,23.384399999999914,15.47440000000006,27.70817500000021,4.323775000000012,12.233775000000037,1.0,0.6617403055028188,1.1848999760524244,0.1848999760524122,0.5231596705496007
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",0.98,2291.6712,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2291.6712,62.791791,174.854513,139.791943,11.458356,34.833402,423.730005,0.1849,2291.6712,27500.04,9831.26,3115.0,5332.27,1383.99,115.33,2176.3412,2715.401205,423.730005,539.060005,1.1849,1.247690943350243,23.38440000000037,23.38440000000037,15.484399999999823,27.708176000000094,4.323776000000009,12.223776000000043,1.0,0.6621679410204914,1.1849000188159482,0.18490001881596027,0.522732077795447
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",0.99,2315.0556,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2315.0556,63.432523,176.638742,141.218392,11.575278,35.188845,428.05378,0.18490000000000004,2315.0556,27780.72,9931.61,3115.0,5337.75,1478.86,123.24,2191.8156,2743.10938,428.05378,551.29378,1.1849,1.2515237962719126,23.384399999999914,23.384399999999914,15.47440000000006,27.708174999999756,4.323775000000012,12.233774999999923,1.0,0.6617403055028188,1.1848999760524048,0.1848999760524122,0.5231596705495958
