country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_sek,arbetsgivaravgifter_monthly_sek,grundavdrag_annual_sek,kommunalskatt_annual_sek,statlig_skatt_annual_sek,jobbskatteavdrag_annual_sek,employee_contributions_monthly_sek,employer_contributions_monthly_sek,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_sek,income_tax_monthly_sek,net_after_income_tax_monthly_sek,employer_cost_monthly_sek,social_wedge_monthly_sek,total_wedge_after_income_tax_monthly_sek,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_sek,delta_net_before_income_tax_monthly_sek,delta_net_after_income_tax_monthly_sek,delta_employer_cost_monthly_sek,delta_social_wedge_monthly_sek,delta_total_wedge_after_income_tax_monthly_sek,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.55,191308.5,60109.13,17400.0,696021.26,327060.4,47552.0,0.0,60109.13,0.0,0.3141999963409885,191308.5,81294.14,110014.36,251417.63,60109.13,141403.27,1.3141999963409885,2.2853164805030906,344.70000000001164,344.70000000001164,170.4499999999971,453.0,108.29999999999563,282.54999999998836,1.0,0.49448796054537664,1.314186248912053,0.3141862489120742,0.8196982883666343
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.56,191653.2,60217.44,17400.0,697284.93,327887.68,47552.0,0.0,60217.44,0.0,0.3142000237929761,191653.2,81468.38,110184.82,251870.64,60217.44,141685.82,1.314200023792976,2.285892376100447,344.70000000001164,344.70000000001164,170.4600000000064,453.0100000000093,108.31000000000495,282.55000000001746,1.0,0.4945169712793752,1.3142152596460517,0.3142152596460728,0.8196982883667187
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.57,191997.9,60325.74,17400.0,698548.6,328714.96,47552.0,0.0,60325.74,0.0,0.3141999990624897,191997.9,81642.63,110355.27,252323.64,60325.74,141968.37,1.3141999990624897,2.2864666091614834,344.69999999998254,344.69999999998254,170.4499999999971,453.0,108.29999999999563,282.54999999998836,1.0,0.4944879605454184,1.314186248912164,0.31418624891210073,0.8196982883667034
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.58,192342.6,60434.04,17400.0,699812.27,329542.24,47552.0,0.0,60434.04,0.0,0.3141999744206432,192342.6,81816.88,110525.72,252776.64,60434.04,142250.92,1.3141999744206432,2.2870390710868023,344.70000000001164,344.70000000001164,170.4499999999971,453.0,108.30000000000291,282.55000000001746,1.0,0.49448796054537664,1.314186248912053,0.3141862489120953,0.8196982883667187
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.59,192687.3,60542.35,17400.0,701075.94,330369.52,47552.0,0.0,60542.35,0.0,0.3142000017645169,192687.3,81991.12,110696.18,253229.65,60542.35,142533.47,1.314200001764517,2.2876096537387287,344.69999999998254,344.69999999998254,170.45999999999185,453.0099999999802,108.30999999999767,282.54999999998836,1.0,0.4945169712793748,1.314215259646078,0.3142152596460782,0.8196982883667034
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.6,193032.0,60650.65,17400.0,702339.61,331196.8,47552.0,0.0,60650.65,0.0,0.3141999772058519,193032.0,82165.37,110866.63,253682.65,60650.65,142816.02,1.314199977205852,2.2881785980145692,344.70000000001164,344.70000000001164,170.45000000001164,453.0,108.30000000000291,282.54999999998836,1.0,0.4944879605454189,1.314186248912053,0.3141862489120953,0.8196982883666343
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.61,193376.7,60758.96,17400.0,703603.28,332024.08,47552.0,0.0,60758.96,0.0,0.31420000444727825,193376.7,82339.61,111037.09,254135.66,60758.96,143098.57,1.3142000044472781,2.2887456794842156,344.70000000001164,344.70000000001164,170.45999999999185,453.0100000000093,108.30999999999767,282.55000000001746,1.0,0.49451697127933303,1.3142152596460517,0.3142152596460517,0.8196982883667187
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.62,193721.4,60867.26,17400.0,704866.95,332851.36,47552.0,0.0,60867.26,0.0,0.31419997997123705,193721.4,82513.86,111207.54,254588.66,60867.26,143381.12,1.3141999799712372,2.2893111384353975,344.69999999998254,344.69999999998254,170.4499999999971,453.0,108.30000000000291,282.54999999998836,1.0,0.4944879605454184,1.314186248912164,0.3141862489121218,0.8196982883667034
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.63,194066.1,60975.57,17400.0,706130.62,333678.64,47552.0,0.0,60975.57,0.0,0.3142000071109792,194066.1,82688.11,111377.99,255041.67,60975.57,143663.68,1.3142000071109792,2.289874956443369,344.70000000001164,344.70000000001164,170.45000000001164,453.0100000000093,108.30999999999767,282.5599999999977,1.0,0.4944879605454189,1.3142152596460517,0.3142152596460517,0.8197272991006328
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.64,194410.8,61083.87,17400.0,707394.29,334505.92,47552.0,0.0,61083.87,0.0,0.3141999827170096,194410.8,82862.35,111548.45,255494.67,61083.87,143946.22,1.3141999827170094,2.2904367564049526,344.69999999998254,344.69999999998254,170.45999999999185,453.0,108.30000000000291,282.54000000000815,1.0,0.4945169712793748,1.314186248912164,0.3141862489121218,0.8196692776327893
